UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 Jul21 ?        00:00:25 /sbin/init
root         2     0  0 Jul21 ?        00:00:00 [kthreadd]
root         4     2  0 Jul21 ?        00:00:00 [kworker/0:0H]
root         6     2  0 Jul21 ?        00:00:00 [mm_percpu_wq]
root         7     2  0 Jul21 ?        00:00:36 [ksoftirqd/0]
root         8     2  0 Jul21 ?        00:10:34 [rcu_preempt]
root         9     2  0 Jul21 ?        00:00:00 [rcu_sched]
root        10     2  0 Jul21 ?        00:00:00 [rcu_bh]
root        11     2  0 Jul21 ?        00:00:01 [migration/0]
root        12     2  0 Jul21 ?        00:00:06 [watchdog/0]
root        13     2  0 Jul21 ?        00:00:00 [cpuhp/0]
root        14     2  0 Jul21 ?        00:00:00 [cpuhp/1]
root        15     2  0 Jul21 ?        00:00:05 [watchdog/1]
root        16     2  0 Jul21 ?        00:00:01 [migration/1]
root        17     2  0 Jul21 ?        00:00:03 [ksoftirqd/1]
root        19     2  0 Jul21 ?        00:00:00 [kworker/1:0H]
root        20     2  0 Jul21 ?        00:00:00 [cpuhp/2]
root        21     2  0 Jul21 ?        00:00:06 [watchdog/2]
root        22     2  0 Jul21 ?        00:00:01 [migration/2]
root        23     2  0 Jul21 ?        00:00:03 [ksoftirqd/2]
root        25     2  0 Jul21 ?        00:00:00 [kworker/2:0H]
root        26     2  0 Jul21 ?        00:00:00 [cpuhp/3]
root        27     2  0 Jul21 ?        00:00:06 [watchdog/3]
root        28     2  0 Jul21 ?        00:00:01 [migration/3]
root        29     2  0 Jul21 ?        00:00:01 [ksoftirqd/3]
root        31     2  0 Jul21 ?        00:00:00 [kworker/3:0H]
root        32     2  0 Jul21 ?        00:00:00 [kdevtmpfs]
root        33     2  0 Jul21 ?        00:00:00 [netns]
root        36     2  0 Jul21 ?        00:00:02 [khungtaskd]
root        37     2  0 Jul21 ?        00:00:00 [oom_reaper]
root        38     2  0 Jul21 ?        00:00:00 [writeback]
root        39     2  0 Jul21 ?        00:00:00 [kcompactd0]
root        40     2  0 Jul21 ?        00:00:00 [ksmd]
root        41     2  0 Jul21 ?        00:08:49 [khugepaged]
root        42     2  0 Jul21 ?        00:00:00 [crypto]
root        43     2  0 Jul21 ?        00:00:00 [kintegrityd]
